t err good
54400 0.104557 0.980469
54500 0.104009 0.980469
54600 0.103467 0.980469
54700 0.10303 0.980469
54800 0.102565 0.980469
54900 0.102034 0.980469
55000 0.10168 0.980469
55100 0.10122 0.980469
55200 0.100856 0.980469
55300 0.100398 0.980469
55400 0.0999207 0.980469
55500 0.0995086 0.980469
55600 0.0990748 0.980469
55700 0.0987636 0.980469
55800 0.0985 0.980469
55900 0.0981252 0.980469
56000 0.0976408 0.980469
56100 0.0972286 0.980469
56200 0.0968888 0.980469
56300 0.0964885 0.980469
56400 0.0961257 0.980469
56500 0.0957359 0.980469
56600 0.0952182 0.980469
56700 0.0947844 0.980469
56800 0.0943209 0.980469
56900 0.0938814 0.980469
57000 0.0933772 0.980469
57100 0.0931299 0.980469
57200 0.0926284 0.980469
57300 0.0922962 0.980469
57400 0.0919604 0.980469
57500 0.0916758 0.980469
57600 0.0911581 0.980469
57700 0.0908614 0.980469
57800 0.0904498 0.980469
57900 0.0900356 0.980469
58000 0.0896528 0.980469
58100 0.089283 0.980469
58200 0.0889444 0.980469
58300 0.0884581 0.980469
58400 0.0880314 0.980469
58500 0.0875977 0.980469
58600 0.0871857 0.980469
58700 0.0867968 0.980469
58800 0.0862867 0.980469
58900 0.0858175 0.980469
59000 0.0853453 0.980469
59100 0.0848555 0.980469
59200 0.0843912 0.980469
59300 0.0837013 0.980469
59400 0.0830607 0.980469
59500 0.0824696 0.980469
59600 0.0819219 0.980469
59700 0.0811099 0.980469
59800 0.0805217 0.980469
59900 0.0798847 0.980469
60000 0.079238 0.980469
60100 0.0787236 0.984375
60200 0.0782767 0.984375
60300 0.077783 0.984375
60400 0.0773355 0.984375
60500 0.0768672 0.984375
60600 0.0764676 0.984375
60700 0.0759834 0.984375
60800 0.0754822 0.984375
60900 0.075242 0.984375
61000 0.0748772 0.984375
61100 0.0744239 0.984375
61200 0.0740675 0.984375
61300 0.0736094 0.984375
61400 0.0733097 0.984375
61500 0.0730371 0.984375
61600 0.0727899 0.984375
61700 0.0723411 0.984375
61800 0.0719922 0.984375
61900 0.0716168 0.984375
62000 0.0712438 0.984375
62100 0.070919 0.984375
62200 0.0705989 0.984375
62300 0.070314 0.984375
62400 0.0700175 0.984375
62500 0.0697362 0.984375
62600 0.0691806 0.984375
62700 0.0688486 0.984375
62800 0.0685277 0.984375
62900 0.0681278 0.984375
63000 0.0678698 0.984375
63100 0.067509 0.984375
63200 0.067173 0.984375
63300 0.0667908 0.984375
63400 0.0663915 0.984375
63500 0.0660719 0.984375
63600 0.065675 0.984375
63700 0.0653986 0.984375
63800 0.0650697 0.984375
63900 0.0647843 0.984375
64000 0.0644141 0.984375
64100 0.0639647 0.984375
64200 0.063645 0.984375
64300 0.063348 0.984375
64400 0.0630036 0.984375
64500 0.0626679 0.984375
64600 0.0624157 0.984375
64700 0.0620128 0.984375
64800 0.0617522 0.984375
64900 0.0614294 0.984375
65000 0.0611158 0.984375
65100 0.0607858 0.984375
65200 0.0603711 0.984375
65300 0.0599959 0.984375
65400 0.0596679 0.984375
65500 0.0592924 0.984375
65600 0.0588976 0.984375
65700 0.0585824 0.984375
65800 0.0582553 0.984375
65900 0.0580545 0.984375
66000 0.0577415 0.984375
66100 0.0574945 0.984375
66200 0.057134 0.984375
66300 0.0568739 0.984375
66400 0.0565344 0.984375
66500 0.0561691 0.984375
66600 0.0558645 0.984375
66700 0.0554619 0.984375
66800 0.0552598 0.984375
66900 0.0549522 0.984375
67000 0.0546423 0.984375
