n t
19714 582693
1863 4937
9763 141969
705 784
4026 25484
19560 572738
10967 180895
19257 547811
2241 7550
565 484
7502 84018
2437 8860
14465 312711
3045 13611
18321 490180
9038 121088
16700 417574
15048 335903
16722 419787
1664 3961
9133 123189
1276 2441
670 745
1992 5887
12659 237725
5063 38288
10982 177196
19533 561602
15120 336523
17330 445040
8609 107922
3949 22893
9787 138919
11021 178716
11063 182477
6874 70336
18971 527540
16504 397224
285 131
5085 37988
19894 586211
11275 187502
7000 72019
1675 4176
19656 572952
16534 400927
13892 287079
10054 150559
10738 170691
11461 192364
8744 114168
7777 89595
17810 464882
13699 276294
3133 16230
16694 409264
19920 595498
15095 332898
9619 136346
11902 211254
10116 152170
10811 174764
4300 26948
16445 394989
11362 189762
2409 8632
5506 44541
4898 35651
8010 94905
14068 292662
1386 2917
18188 492397
6949 70706
14726 319114
16956 423679
10758 173328
16606 406851
6238 59015
5693 47877
11386 193513
4860 34518
11468 193546
1962 5586
12306 223910
4693 32824
2702 10735
6742 68103
9160 123645
13206 259853
11386 191082
6303 58747
17027 424848
9688 145097
8830 116666
11359 192275
9738 139167
4942 35967
12951 248825
10038 149475
11804 205603
17638 461295
4294 27290
10189 152944
15543 355359
6882 70057
11942 210025
11079 181555
8667 111737
1971 5850
3342 16226
4665 32254
11305 190081
17564 456318
17323 456000
17284 444711
3465 17974
2485 8843
10968 179477
1526 3443
461 340
14583 314915
17550 462234
15770 370489
2298 7778
11156 187309
16110 388633
12007 312906
1151 2019
6272 59796
15980 422810
18149 487017
16620 405253
1844 5032
16366 398274
8578 109618
10114 168938
13465 269157
651 650
18232 493280
2227 7491
14428 305903
7680 87749
806 969
403 251
9000 120307
11484 195770
8409 103786
6270 58748
15717 376912
12634 235636
7616 86349
16159 399085
1076 1808
13172 298010
15114 340844
13284 260311
10545 167261
5018 37822
7057 74146
15548 358991
4165 25609
8457 107186
17422 460567
12908 247032
11160 182906
7020 71650
10540 166152
17578 449823
13675 272667
1031 1513
17493 451977
15647 360532
8215 97832
1548 3585
4938 35521
18494 507373
17349 443590
15371 350298
8664 111216
17258 438330
6308 58092
1772 4794
15918 373921
12462 229428
4129 25134
6383 60649
11634 201721
16639 413673
19895 586328
9208 123435
11994 208674
14589 314752
3622 19215
3527 18428
5745 49741
1739 4549
11941 214641
13735 277232
11002 181326
15811 364923
2188 7084
2273 7636
4963 36313
19870 583765
3891 22282
5532 45037
14863 324629
16385 397194
18031 472281
9663 137705
5068 37812
19016 532485
13285 256118
10100 149628
1465 3142
14106 298420
19120 536122
3540 18283
5241 40051
9239 124623
1382 2814
12091 216264
3717 20699
6084 54841
15793 362053
3853 21628
8854 115594
10043 146530
12285 222370
15470 351432
4472 29174
3576 18522
6278 58928
19738 582837
19605 562731
3201 14888
18455 505712
6938 71951
8126 97491
5786 49847
5285 41690
2772 11324
3590 20315
5202 40601
13417 267461
18579 507650
146 33
17730 464376
718 739
1185 2136
995 1474
3317 16577
5689 48170
9821 141480
3317 16436
11015 177861
18803 518124
8649 109813
15320 346879
2654 10578
2102 6510
16678 411595
10616 166551
11761 204549
4089 24514
11955 212173
6219 57150
9959 144825
17091 429759
11846 205484
14930 330077
7089 74828
10636 166914
6632 64256
19281 547306
2917 12289
17001 422081
5542 45237
5051 37317
2187 6994
16602 408306
17889 468012
681 763
4983 36644
12551 233051
17973 472884
14953 328857
13881 284149
11409 193005
3540 18657
1785 4703
11564 196737
2670 10300
7714 87809
17844 466145
3543 18764
5050 39119
4874 34744
9694 137097
10925 175050
2301 7688
11485 195013
19743 566314
6283 57479
15236 341754
497 370
7100 73700
10219 152558
19670 565466
12805 243174
13459 264837
12662 236358
17207 433319
7796 90244
4248 26982
15856 375577
14541 316240
2666 10226
15208 339500
6850 69659
1487 3238
11170 183427
5271 40476
8830 116333
11574 199714
19423 557705
16005 378702
10937 176300
16102 386389
10231 153919
16170 384079
6838 67643
1599 3756
16153 389804
12280 220094
11475 192711
6447 61016
5181 39971
17331 453083
15103 334902
12015 211574
9256 128301
1512 3345
1348 2660
14217 296002
5742 48202
12324 223292
254 98
1546 3693
1161 1958
13354 263014
13900 283333
15592 360720
14880 326617
10433 165072
7896 91825
17520 451502
7599 84824
2571 9746
5203 40238
7710 86028
8049 96197
19025 535748
15417 346874
19657 567490
15766 366586
4965 36379
11089 179483
13869 292251
2417 8714
15622 358781
2957 13144
7057 77892
8173 110175
4302 28979
10987 198285
7310 83651
19308 547670
8098 97802
331 175
10427 160955
13502 270865
18903 524192
16449 398880
18035 500741
1972 5772
16643 412508
15609 363914
12761 242525
10170 153399
13647 271126
12636 233514
1279 2407
11022 178029
10140 150283
19953 589153
14395 300190
5203 39798
18602 512084
14439 307155
11757 203242
14627 326551
7138 75289
6735 67039
13753 279953
8264 98147
2427 8858
18464 500660
4900 35321
18112 486032
4795 33636
6371 59756
10162 153670
18709 515488
18585 508724
13983 285937
13489 268284
18290 495947
10592 164698
5350 41335
12855 244510
11583 194645
12874 246113
16912 422166
15719 363327
18352 525997
4461 28869
6869 110363
4666 33339
17297 489457
3667 22139
13886 287792
17257 443406
10612 162791
5716 61090
1580 3618
298 128
3658 21242
4737 33783
18895 533352
6189 56277
5775 49264
8762 112442
10073 146677
1676 4167
4882 34727
16173 381967
7281 76954
6159 55418
7711 87306
9982 148313
4819 34303
83 21
7885 90276
8170 97257
3495 18032
5574 49662
2073 6759
6499 62562
8248 98356
10955 178645
17339 440088
14280 300756
1827 4892
16460 436426
16809 453919
18392 498220
8382 106052
11636 198110
18927 528283
7256 77790
5346 41591
397 245
2383 8302
3895 22130
44 3
8424 105887
5158 38963
11894 207569
16849 413650
18058 474773
15472 353890
11179 182431
6859 69142
14753 318421
1148 1933
18266 488587
15953 370920
19190 542637
13295 260848
2979 13139
11128 181927
9693 138230
784 918
14212 294544
11656 201365
7659 86505
15183 335554
8944 118141
6101 54059
11347 189627
8935 115539
5690 48845
10255 152031
17226 437106
311 160
102 28
18815 519260
7229 76594
193 69
853 1059
9353 127842
3134 14130
18364 492217
15783 368872
17738 462840
14979 334083
18693 515762
17329 444926
15591 358686
5640 46758
13675 275515
18968 532840
2056 6210
18708 517266
6325 58862
6542 62897
9601 135215
14594 312305
16072 379423
18083 479098
17660 459165
14213 301355
15013 338590
11215 183442
4861 35013
7461 84447
16961 422977
1510 3422
18235 492451
7258 78712
9361 130617
13620 271770
8863 114891
8350 101469
4876 34806
6670 64486
18719 517765
19540 559240
19053 537239
8927 116232
8134 100606
18206 488171
17560 457697
13924 284348
6918 71284
10430 159903
2412 8274
15076 335749
786 889
12626 234417
4121 25058
8036 94446
10136 151238
3794 21594
17119 430633
6210 56943
5730 48461
15368 345257
6729 65534
6759 66826
15109 334917
15262 343489
18019 482140
7258 77247
11216 183886
18172 481269
12858 243033
2268 7469
19856 576912
19396 553155
4233 26476
9859 142765
15680 360373
13497 273833
19233 547189
11789 204964
10673 169553
12143 219753
14380 304144
49 14
4612 31267
13691 277047
449 312
6990 71105
19042 531631
914 1217
1215 2146
16376 390714
18462 513752
5568 44895
12772 240568
9132 124840
5346 42816
14383 316882
17024 427004
10187 153978
10671 184614
17244 437037
2036 6083
13132 277252
679 696
13783 303547
18669 528573
405 256
14569 313741
4155 25603
6626 64195
9327 127645
4429 29385
10037 149478
8662 111738
14170 297136
751 870
1738 4466
12358 225793
14386 304069
15819 371823
11867 205260
275 119
9172 125291
18027 481879
8305 101148
7612 85003
8209 99892
1401 2936
12244 221454
13961 285057
14922 325110
6538 62301
16839 415106
9055 121193
9440 132585
152 43
16102 383074
605 569
494 356
15394 349535
12368 222229
19607 563094
16768 409693
1509 3336
4677 31681
18125 478699
4608 31681
8774 112510
936 1334
19577 561880
11917 211216
423 311
6827 70396
8330 119244
19167 552911
4459 29453
10294 155367
13561 272182
18105 485405
145 33
6781 68047
8553 109245
1184 2033
8570 108598
15812 372004
16666 406437
13965 283630
7252 78330
623 618
9721 138237
3963 23317
13870 280479
2474 9155
9949 148471
18950 529181
17214 448136
8108 107052
14319 305238
12009 211483
14799 326617
6755 66786
3153 14603
6675 64073
16842 420012
7528 83812
1227 2301
8669 110375
17136 443531
18739 521928
10056 148484
7445 81369
10760 168885
7412 80411
8517 106505
15099 335294
19105 538896
17248 434194
7368 79983
7167 75576
5140 42273
5284 43362
14753 319864
5699 47642
16488 396560
14633 309601
5716 49315
4723 34493
15051 338332
18731 509797
13989 293793
13609 271984
1401 2873
6505 62584
4757 33267
13704 275893
10178 151360
16758 415126
7655 84766
12443 229098
9646 135626
15635 360445
18143 485950
12782 240439
18795 538048
3956 23115
1829 6598
13244 257190
5796 49291
5421 42932
712 722
1776 4623
15615 357917
3071 13892
8835 113760
3037 13305
19529 560802
16435 395740
14676 319415
8336 101434
5829 50210
15402 346679
16440 397038
12264 221003
15271 370851
13060 303246
18873 718918
2447 9724
12723 255129
10887 176811
2537 9577
37 13
4256 27181
1205 2172
13121 254035
19372 555418
1011 1550
13373 270862
3459 19270
19607 620512
10634 181436
1767 4571
5307 42679
19768 575789
12315 218847
3498 17932
1343 2691
3271 15448
1407 2806
3851 21781
6516 61890
4191 26870
16195 388187
19409 554261
10226 155014
6301 58401
9867 143414
15611 362830
1545 3436
11239 186656
15545 359847
9189 124180
19104 550102
19151 584196
5138 43339
11143 184065
13527 269647
17609 453450
11963 212012
10403 159839
14196 302738
16502 398531
467 516
7361 80316
1072 1691
8067 96923
19566 575626
9652 138746
19468 555954
6438 75609
1729 4468
8086 95571
18336 507778
6656 66343
660 682
4711 32663
2115 6544
14731 322333
18095 480711
8339 101785
11195 182600
14153 295190
15280 341130
13857 305292
821 998
2909 12577
19973 586711
2995 14037
18722 541197
13726 277986
3457 17351
19509 559288
9236 123460
14425 307136
13514 277614
490 357
10178 157858
11763 201770
3379 16822
4622 31574
90 12
16378 394946
12027 223650
18138 482727
14283 304376
1872 5248
9740 139828
7912 91293
11172 181706
18552 514389
10931 175502
7523 82280
1093 1726
15720 369926
1183 2072
2587 9732
5259 41113
2634 10340
19700 570856
6873 71420
9075 121081
14843 328361
7804 90303
2181 7157
6629 65346
19617 569265
3521 18385
7815 89909
11584 207840
10658 169483
3871 21656
12830 239512
14798 322319
17570 452491
19332 550799
8324 100709
2985 12993
8463 105285
1859 5158
3255 15900
3455 17965
13171 254811
1691 4120
6741 68112
4866 34384
693 746
15526 358073
16504 403690
7938 93046
10345 158328
4272 27934
15504 362380
3761 21094
2690 10881
9619 136109
13522 271820
12239 220453
11983 212853
11300 188050
4377 28892
7290 80119
16711 436822
8284 108051
4841 37645
18120 497609
19389 689445
18932 545886
5684 47629
11197 184925
710 797
19684 571268
9566 134487
16800 414578
12324 225971
1820 5051
17135 451096
16248 389160
1286 2511
10068 148714
15728 365882
13553 269459
4442 28874
3355 16430
10746 169255
2746 10885
15144 342046
16975 427606
10931 179069
8162 98822
11948 213084
6054 54625
14544 333130
4151 27535
19007 542188
19525 560308
12255 220885
3776 21489
18841 532743
11873 229649
4341 31469
3260 16347
12452 279210
8107 114585
17848 470994
18345 496165
12456 236725
