n t
10947 65
7343 49
3877 32
16779 92
7779 51
9531 59
1632 21
14746 101
14189 80
75 6
6922 47
2330 25
5550 41
14733 82
11712 68
17266 94
19164 103
7088 48
9201 58
15666 87
9042 57
13031 75
15507 86
13008 75
9551 59
18235 99
16887 92
19945 106
17515 95
14576 82
13330 76
18975 102
3413 30
11543 68
6512 45
4693 36
386 11
11220 67
10452 63
12237 71
9892 60
18155 98
19538 104
11860 69
14178 80
2883 27
3609 30
3264 29
17495 95
6432 45
7229 48
497 12
2023 24
12455 73
4093 34
16481 90
1843 22
6597 46
14281 80
13699 78
10347 62
9604 59
12594 73
15241 84
560 13
114 6
2615 27
19950 107
673 15
17541 95
10293 62
18086 98
14157 80
17725 96
9306 58
15131 84
19128 103
9381 58
9141 57
18036 98
14912 83
19228 103
6167 43
884 16
13441 76
7128 48
18923 102
7359 49
16608 97
1499 20
8937 57
8537 55
6371 44
9591 59
2403 26
6020 43
12143 71
774 15
11161 66
9108 57
14577 82
13165 75
7399 49
17034 93
4737 36
3290 30
17220 94
14586 82
19479 104
7175 48
18581 100
14709 82
18006 97
9528 59
10803 65
9456 58
13177 76
14073 79
8967 56
16041 91
8267 53
13348 76
19422 104
7418 49
5795 42
11791 69
7363 49
11746 69
3908 32
14401 81
11623 68
18842 101
6907 47
7290 49
14226 86
12786 74
9413 58
4861 37
14783 83
14868 83
155 8
17974 97
9548 59
15729 87
8020 52
4477 35
2292 25
13446 77
10876 65
9623 59
8184 53
16164 89
18632 100
13793 78
14894 83
18779 101
643 15
11800 69
1726 22
11804 69
16611 91
4437 35
11976 70
9883 60
4078 33
2601 26
19661 105
11500 67
2334 25
10332 62
9371 58
12214 71
10112 61
3489 30
6881 47
6283 44
10520 63
1578 20
3359 30
19355 104
1675 21
7643 50
13596 77
3661 31
17889 97
10885 65
11250 66
14304 80
15450 86
1785 21
15374 85
19900 106
13927 79
12562 72
14553 82
17185 93
4781 36
4137 33
8276 60
18997 102
11241 66
17451 95
1490 20
19478 104
6750 46
5504 40
9334 58
17513 95
6103 43
17883 97
12103 70
1425 20
10408 63
8963 59
9599 59
11381 68
16143 89
19786 105
3135 29
13543 77
376 12
15286 85
7396 49
14192 80
13353 76
8960 56
6895 47
